,L*(D65),a*(D65),b*(D65),Y(D65),550nm,360nm,370nm,380nm,390nm,400nm,410nm,420nm,430nm,440nm,450nm,460nm,470nm,480nm,490nm,500nm,510nm,520nm,530nm,540nm,560nm,570nm,580nm,590nm,600nm,610nm,620nm,630nm,640nm,650nm,660nm,670nm,680nm,690nm,700nm,710nm,720nm,730nm,740nm
     1 ,33.57,-0.13,-0.64,7.80,7.80,8.29,8.29,8.29,8.29,8.29,8.19,8.08,8.00,7.99,7.98,7.96,7.94,7.91,7.90,7.88,7.87,7.87,7.84,7.84,7.77,7.74,7.73,7.73,7.73,7.71,7.71,7.69,7.71,7.69,7.69,7.68,7.66,7.66,7.64,7.64,7.64,7.64,7.64
     2 ,25.83,-0.08,-0.54,4.69,4.69,4.98,4.98,4.98,4.98,4.98,4.93,4.87,4.81,4.79,4.79,4.79,4.76,4.76,4.75,4.72,4.73,4.72,4.71,4.70,4.67,4.66,4.65,4.64,4.66,4.65,4.61,4.62,4.64,4.63,4.64,4.64,4.63,4.63,4.63,4.63,4.63,4.63,4.63
